subj,block,trial,reach_dur_s,grasp_dur_s,pull_dur_s,mvt_dur_s,peak_reach_vel,peak_pull_vel,reach_beta_db,grip_beta_db,reach_lowbeta_db,reach_highbeta_db
wue09,1,11,1.2125,0.575,1.01,2.7975,0.688566980703791,0.748419707553597,-0.2319269,-1.793592,-0.1805493,0.122751
wue10,1,1,1.2925,1.0275,1.3075,3.6275,0.556211817155134,0.506140689151694,-3.013221,-1.372359,-4.193586,-1.250481
wue10,1,2,1.3925,1.1075,1.365,3.865,0.386605032964505,0.533749449398768,-1.198582,0.8911014,-3.278408,1.15808
wue10,1,3,1.3425,1.23,1.23,3.8025,0.448648817984026,0.507980403148912,-0.9898115,-1.460547,-1.821014,0.5445458
wue10,1,4,1.335,1.5225,1.3075,4.165,0.441404743029595,0.478352407030182,-1.754313,-1.673532,-2.091076,-0.5548956
wue10,1,5,1.38,0.9575,1.3875,3.725,0.455311346400524,0.458864891224168,3.119197,0.0497116,2.357563,4.090712
wue10,1,6,1.31,0.9475,1.3525,3.61,0.460392281811919,0.470843455042231,-4.795455,-2.01064,-5.700418,-3.397635
wue10,1,7,1.425,0.725,1.4925,3.6425,0.445463986879199,0.477603329024148,-3.217416,-1.616817,-4.359921,-1.181538
wue10,1,8,1.2275,1.4475,1.225,3.9,0.490621361925579,0.542744852473882,1.24245,-0.9771643,0.961408,2.979711
wue10,1,9,1.4025,0.8575,1.4175,3.6775,0.430889994689859,0.46800044130824,-1.080512,-1.412875,-1.384546,0.9283594
wue10,2,1,1.42,1.305,1.31,4.035,0.481798425892018,0.522021364335089,-1.097038,0.3843238,-0.08967523,-1.808336
wue10,2,2,1.3925,1.4675,1.3575,4.2175,0.48022093090372,0.513813283311722,-1.238054,-2.347988,1.578382,-4.977154
wue10,2,3,1.355,0.8275,1.41,3.5925,0.456768241630597,0.498824565314178,-2.530228,-2.089839,-2.798233,-1.607945
wue10,2,4,1.4775,0.9525,1.3575,3.7875,0.38408474760433,0.473777525519305,0.2639194,-1.071551,2.104252,-1.148382
wue10,2,5,1.4775,0.7525,1.49,3.72,0.422645951266543,0.395613330429919,-2.98846,-3.201677,-0.2533411,-4.879601
wue10,2,6,1.49,0.84,1.31,3.64,0.412408800898433,0.487581565767176,0.8261921,-1.396993,1.589651,0.2366588
wue10,2,7,1.455,0.7075,1.4825,3.645,0.400681723982088,0.371614565598127,-3.207534,-0.1077915,-2.37319,-3.36568
wue10,2,8,1.465,0.7,1.4175,3.5825,0.407288694939581,0.490528864965406,-1.337413,-3.164868,-0.2136935,-2.023574
