subj,block,trial,reach_dur_s,grasp_dur_s,pull_dur_s,mvt_dur_s,peak_reach_vel,peak_pull_vel,reach_beta_db,grip_beta_db,reach_lowbeta_db,reach_highbeta_db
wue06,3,1,1.4725,1.9475,1.2875,4.7075,0.303272825754958,0.404022134987637,0.6274431,5.347445,1.374137,1.583997
wue06,3,2,1.5875,2.355,1.36,5.3025,0.266460292207964,0.357142451549251,2.254901,2.597713,-1.000678,3.440962
wue06,3,3,1.42,1.775,1.3875,4.5825,0.312941409528825,0.391370490326464,0.5859056,3.269263,-0.1170185,1.522371
wue06,3,4,1.7475,2.88,1.5525,6.18,0.243705035386083,0.349652138353338,-0.848089,1.535834,-2.408885,0.09161729
wue06,3,5,1.8075,2.79,1.57,6.1675,0.24724323477354,0.287467114821747,1.264674,3.196349,-1.095711,2.423431
wue06,3,6,2.02,2.9225,1.5675,6.51,0.173527474571881,0.319336365047537,-0.6353437,4.342391,0.267508,-1.244782
wue06,3,7,1.57,3.36,1.665,6.595,0.278441756074462,0.271302327256811,0.1857731,4.291568,-0.7282894,1.311257
wue06,3,8,1.9375,3.1725,1.51,6.62,0.18450231903384,0.304433448509316,1.330173,3.918304,4.172866,-0.71706
wue06,3,9,1.755,2.67,1.6225,6.0475,0.245517255988174,0.272243215386712,-2.139118,3.427129,-2.813556,-1.849512
wue06,3,10,1.835,1.875,1.965,5.675,0.236102249309721,4.50351772401202,-0.5785857,5.483602,-0.05762983,-0.4311409
wue07,1,1,0.9275,0.3325,0.81,2.07,0.739128589847759,0.904910256499778,-2.207129,-1.793525,1.2982,-6.446519
wue07,1,2,0.8725,0.3175,0.915,2.105,0.837898638386022,0.869130119241074,-6.218274,-3.325417,-4.300719,-6.106541
wue07,1,3,0.95,0.5825,0.92,2.4525,0.714007474017474,0.778900655288592,-4.334859,-2.146887,-5.338583,-3.866668
wue07,1,4,0.9675,0.6525,0.9075,2.5275,0.741850602522867,0.741079722104619,-3.050411,-1.277252,-0.07092448,-6.521637
wue07,1,5,0.9825,0.745,0.9625,2.69,0.726396189968505,0.753617836133048,-3.497677,-2.155279,-1.876418,-3.889773
